iter	Passed	Remaining
0	53	53103
1	58	29234
2	63	21150
3	68	17109
4	73	14724
5	79	13125
6	91	12910
7	104	12905
8	109	12068
9	114	11340
10	119	10765
11	126	10444
12	132	10025
13	137	9694
14	144	9501
15	149	9216
16	154	8952
17	160	8735
18	165	8550
19	171	8381
20	176	8224
21	181	8082
22	188	8009
23	194	7895
24	199	7781
25	204	7666
26	212	7666
27	217	7562
28	224	7504
29	229	7408
30	234	7316
31	239	7246
32	244	7169
33	249	7092
34	254	7019
35	259	6955
36	264	6895
37	270	6836
38	275	6776
39	280	6730
40	285	6675
41	290	6623
42	295	6578
43	300	6538
44	306	6504
45	311	6458
46	320	6498
47	332	6594
48	343	6676
49	356	6766
50	365	6793
51	378	6908
52	392	7015
53	405	7105
54	411	7065
55	418	7052
56	432	7159
57	444	7220
58	449	7170
59	454	7126
60	459	7079
61	464	7033
62	469	6987
63	475	6947
64	480	6907
65	485	6867
66	490	6826
67	495	6793
68	500	6758
69	506	6723
70	511	6687
71	516	6658
72	522	6633
73	527	6597
74	532	6563
75	537	6537
76	542	6504
77	547	6472
78	552	6444
79	557	6412
80	562	6385
81	567	6354
82	574	6352
83	580	6333
84	585	6304
85	590	6277
86	595	6250
87	601	6229
88	608	6224
89	613	6198
90	617	6170
91	622	6147
92	628	6126
93	633	6102
94	641	6107
95	646	6086
96	654	6093
97	659	6071
98	664	6049
99	669	6025
100	674	6004
101	679	5980
102	686	5976
103	691	5953
104	696	5934
105	701	5914
106	709	5918
107	721	5962
108	733	5997
109	748	6054
110	760	6090
111	766	6074
112	772	6065
113	783	6090
114	789	6075
115	794	6057
116	800	6043
117	805	6024
118	811	6006
119	816	5985
120	821	5966
121	826	5947
122	831	5929
123	836	5911
124	842	5894
125	847	5877
126	852	5859
127	857	5845
128	863	5830
129	869	5816
130	874	5799
131	880	5791
132	891	5808
133	904	5846
134	920	5898
135	931	5915
136	949	5978
137	963	6020
138	976	6047
139	990	6086
140	1003	6111
141	1014	6131
142	1031	6181
143	1044	6206
144	1058	6240
145	1071	6267
146	1082	6281
147	1108	6381
148	1127	6439
149	1143	6480
150	1156	6499
151	1174	6550
152	1186	6570
153	1200	6597
154	1216	6629
155	1230	6657
156	1245	6687
157	1250	6663
158	1255	6641
159	1260	6617
160	1265	6595
161	1270	6573
162	1280	6573
163	1296	6607
164	1308	6623
165	1319	6629
166	1331	6640
167	1346	6668
168	1351	6647
169	1356	6625
170	1361	6602
171	1367	6582
172	1372	6561
173	1380	6552
174	1385	6530
175	1390	6507
176	1395	6487
177	1399	6464
178	1406	6449
179	1411	6428
180	1416	6409
181	1422	6391
182	1427	6370
183	1431	6350
184	1437	6331
185	1441	6310
186	1447	6293
187	1452	6274
188	1457	6254
189	1462	6236
190	1468	6218
191	1473	6199
192	1478	6184
193	1483	6164
194	1488	6146
195	1493	6126
196	1498	6109
197	1504	6093
198	1509	6075
199	1516	6065
200	1521	6048
201	1526	6032
202	1532	6015
203	1537	5999
204	1542	5983
205	1548	5967
206	1553	5950
207	1558	5933
208	1564	5919
209	1570	5906
210	1575	5889
211	1580	5873
212	1585	5858
213	1590	5841
214	1595	5824
215	1600	5810
216	1610	5809
217	1617	5800
218	1622	5786
219	1627	5771
220	1634	5761
221	1639	5747
222	1644	5731
223	1650	5716
224	1655	5703
225	1660	5687
226	1665	5671
227	1670	5656
228	1678	5650
229	1683	5635
230	1688	5622
231	1693	5607
232	1698	5591
233	1706	5587
234	1712	5573
235	1717	5559
236	1722	5544
237	1727	5532
238	1733	5520
239	1738	5506
240	1743	5492
241	1748	5477
242	1753	5463
243	1759	5451
244	1764	5438
245	1770	5425
246	1778	5420
247	1783	5406
248	1787	5392
249	1794	5382
250	1799	5370
251	1805	5359
252	1811	5347
253	1816	5335
254	1823	5326
255	1828	5314
256	1833	5302
257	1839	5291
258	1844	5277
259	1851	5269
260	1857	5258
261	1863	5248
262	1869	5238
263	1874	5225
264	1879	5213
265	1884	5200
266	1889	5187
267	1896	5179
268	1901	5167
269	1906	5154
270	1912	5143
271	1916	5130
272	1922	5118
273	1927	5106
274	1932	5094
275	1937	5082
276	1942	5070
277	1949	5062
278	1955	5052
279	1960	5040
280	1965	5028
281	1970	5016
282	1975	5004
283	1980	4993
284	1985	4981
285	1990	4970
286	1996	4959
287	2001	4948
288	2006	4937
289	2011	4925
290	2016	4913
291	2022	4902
292	2026	4891
293	2032	4879
294	2037	4868
295	2045	4863
296	2055	4864
297	2061	4856
298	2067	4846
299	2073	4837
300	2078	4826
301	2083	4816
302	2089	4806
303	2094	4795
304	2099	4784
305	2104	4773
306	2109	4762
307	2115	4752
308	2120	4741
309	2127	4734
310	2134	4729
311	2139	4718
312	2146	4711
313	2151	4700
314	2157	4690
315	2162	4679
316	2167	4670
317	2172	4659
318	2177	4648
319	2182	4637
320	2187	4627
321	2192	4617
322	2197	4606
323	2212	4617
324	2217	4606
325	2223	4596
326	2228	4586
327	2233	4575
328	2238	4565
329	2243	4555
330	2248	4544
331	2253	4534
332	2259	4526
333	2264	4516
334	2270	4506
335	2275	4496
336	2280	4486
337	2286	4478
338	2291	4467
339	2296	4458
340	2302	4449
341	2307	4439
